0,1
Bouffon,Une personne qui fait rire les autres par ses plaisanteries ou son comportement excentrique.
Farceur,Quelqu'un qui aime faire des farces ou des blagues pour amuser les autres.
Patachon,"Un terme affectueux pour décrire une personne maladroite, mais sympathique."
Frapadingue,Un mot inventé pour décrire quelqu'un de totalement extravagant ou excentrique.
Gugusse,"Un terme familier utilisé pour désigner quelqu'un de bizarre, d'excentrique ou de comique."
Pitre,Une personne qui aime faire le clown ou amuser les autres par ses facéties.
Chambreur,Une personne qui aime taquiner les autres de manière amicale et humoristique.
Boute-en-train,Une personne qui apporte de l'animation et de la bonne humeur dans un groupe.
Fripouille,Un terme plaisant pour décrire quelqu'un d'un peu coquin ou espiègle.
Farfadet,"Un être imaginaire du folklore, souvent décrit comme un lutin facétieux et farceur."
Galopin,Un terme affectueux pour désigner un enfant espiègle ou un jeune garçon turbulent.
Chahuteur,"Une personne qui aime faire du bruit, de l'agitation et s'amuser avec les autres."
Fantoche,Une personne influençable ou manipulée; utilisée comme un terme humoristique pour décrire quelqu'un de peu intelligent.
Guignol,Un personnage de marionnette français traditionnellement associé à des comédies burlesques.
Ribouldingue,"Un terme désuet pour décrire quelqu'un d'extravagant, de joyeux et de plein d'entrain."
Bougre,Un terme informel pour désigner quelqu'un; souvent avec une connotation légèrement méprisante ou moqueuse.
Chameau,Un animal à deux bosses vivant dans les régions désertiques. Utilisé de manière familière; ce terme peut faire référence à quelqu'un d'insupportable ou de pénible.
Espèce de trompette,Une expression familière utilisée pour exprimer une certaine exaspération ou irritation envers quelqu'un.
Tête de linotte,Une expression familière pour décrire quelqu'un de distrait ou d'oublieux.
Zozo,"Un terme familier pour désigner quelqu'un d'excentrique, de drôle ou de peu sérieux."
Énergumène,"Un terme fort pour décrire quelqu'un de violent, d'agressif ou de furieux."
Gredin,Un terme désuet pour désigner quelqu'un de malhonnête ou de perfide.
Balourd,"Un terme pour décrire quelqu'un de maladroit, gauche ou lourd dans ses mouvements."
Andouille,Un terme affectueux ou humoristique pour désigner quelqu'un de bête ou de stupide.
Cornichon,"Un terme familier pour désigner quelqu'un de stupide, d'idiot."
Âne bâté,"Un terme familièrement utilisé pour désigner quelqu'un de stupide, d'idiot ou de borné."
Patate,Un terme familièrement utilisé pour désigner quelqu'un de stupide ou d'idiot.
Bredouille,"Un terme familier pour décrire quelqu'un de bête, d'idiot ou de maladroit."
Tête de mule,Un terme pour décrire quelqu'un de têtu ou d'obstiné.
Crapaud,"Un terme familier pour désigner quelqu'un de répugnant, d'ennuyeux ou de désagréable."
Cancre,"Un terme péjoratif pour désigner quelqu'un d'incompétent, de paresseux ou de peu intelligent."
Bélître,"Un terme désuet pour décrire quelqu'un de méprisable, d'indigne ou de malhonnête."
Butor,"Un terme pour décrire quelqu'un d'inculte, de grossier ou de rustre."
Cuistre,"Un terme péjoratif pour désigner une personne prétentieuse, pédante ou sans réelle compétence."
Faquin,Un terme péjoratif pour désigner quelqu'un de malhonnête ou de sans valeur morale.
Orchidoclaste,Un terme inventé pour désigner quelqu'un qui détruit ou abîme volontairement des orchidées (c'est la version fleurie de la définition).
Faraud,"Un terme désuet pour désigner un bellâtre, un fanfaron, un prétentieux (notamment auprès des femmes)."
Alburostre,Un terme désuet pour désigner un homme vaniteux et sans substance.
Forban,Un terme désuet pour désigner un pirate ou un hors-la-loi.
Fripon,"Un terme pour désigner quelqu'un de malicieux, de rusé ou de coquin."
Foutriquet,Un terme désuet pour désigner une personne de petite taille et donc insignifiante.
Ganache,Un terme familier pour désigner quelqu'un de stupide ou de niais.
Gaupe,"Un terme régional pour désigner quelqu'un de gauche, de maladroit ou de peu intelligent."
Godiche,"Un terme familier pour décrire quelqu'un de maladroit, de gauche ou d'idiot."
Gougnafier,"Un terme familier pour désigner quelqu'un de négligé, de paresseux ou de peu fiable."
Houlier,"Un terme régional pour désigner quelqu'un de stupide, d'idiot ou de maladroit."
Gourgandine,Un terme désuet pour désigner une femme considérée comme légère ou débauchée.
Malappris,Un terme pour désigner quelqu'un qui manque de politesse ou de bonnes manières.
Malotru,"Un terme pour désigner quelqu'un de grossier, de malpoli ou de rustre."
Maraud,"Un terme désuet pour désigner quelqu'un de vaurien, de voyou ou de vagabond."
Maroufle,"Un terme désuet pour désigner quelqu'un de maladroit, de gauche ou d'idiot."
Mufle,"Un terme pour désigner quelqu'un de grossier, de mal élevé ou de peu aimable."
Olibrius,"Un terme désuet pour désigner quelqu'un d'excentrique, d'extravagant ou d'insolite."
Ostrogoth,"Un terme péjoratif pour désigner quelqu'un de brutal, d'inculte ou de peu civilisé."
Paltoquet,"Un terme désuet pour désigner quelqu'un de prétentieux, d'arrogant ou de sans valeur."
Pignouf,"Un terme familier pour désigner quelqu'un de stupide, d'idiot ou d'incompétent."
Pourceau,"Un terme péjoratif pour désigner quelqu'un de sale, de vulgaire ou de grossier."
Ribaud,"Un terme désuet pour désigner quelqu'un de débauché, de dépravé ou de malhonnête."
Sagouin,"Un terme péjoratif pour désigner quelqu'un de malpropre, de négligé ou de désordonné."
Tonnerre de Brest, Expression utilisée pour exprimer la surprise ou l'exaspération
Mille millions de mille sabords, Expression utilisée pour exprimer une grande colère
Espèce de bachi-bouzouk, Expression utilisée pour désigner quelqu'un comme un étranger ou un ennemi
Bougres d'ectoplasme, Expression insultante sans signification particulière
Moule à gaufres, Expression utilisée pour insulter quelqu'un en comparant son visage à un moule à gaufres
Abominable galimafrée, Expression utilisée pour désigner quelque chose de dégoûtant et de mauvais goût
Vautour empaillé, Expression utilisée pour insulter quelqu'un en le comparant à un vautour empaillé
Bande de crabes, Expression utilisée pour insulter un groupe de personnes en les comparant à des crabes
Quadrupède à cornes, Expression utilisée pour insulter quelqu'un en le comparant à un animal avec des cornes
Phénomène de zoo, Expression utilisée pour désigner quelqu'un comme étant bizarre ou inhabituel
Lâche, Personne qui manque de courage
Vaurien, Personne sans scrupules ni principes moraux
Iconoclaste, Personne qui attaque les traditions établies ou les institutions
Misérable, Personne méprisable et détestée
Babouin, Singe à museau allongé et à crinière
Ectoplasme, Substance imaginaire supposée être libérée par un médium pendant une séance de spiritisme
Dictateur, Personne qui exerce un pouvoir absolu et autoritaire
Pantouflard, Personne qui reste constamment chez elle et ne sort jamais
Rastaquouère, Personne qui se comporte de façon prétentieuse et vulgaire
Froussard, Personne ayant peur ou manquant de courage
Scélérat, Personne perverse et sans moralité
Usurpateur, Personne qui s'empare du pouvoir de façon illégitime
Vermisseau, Petit ver souvent considéré comme nuisible
Fichtre, Interjection utilisée pour exprimer la frustration ou l'étonnement
Sacrebleu, Jurons utilisé pour exprimer la frustration
Mille tonnerres, Expression utilisée pour exprimer une grande frustration ou une colère intense
Nom d'un chien, Expression utilisée pour exprimer la frustration ou la surprise
Zut alors, Expression utilisée pour exprimer la frustration ou le mécontentement
Diantre, Interjection utilisée pour exprimer la frustration ou l'étonnement
Ventrebleu, Jurons utilisé pour exprimer la frustration ou la colère
Diable, Interjection utilisée pour exprimer la frustration
Morbleu, Jurons utilisé pour exprimer la frustration ou l'étonnement
Saperlipopette, Interjection utilisée pour exprimer la frustration
Grrr, Onomatopée utilisée pour exprimer la frustration ou l'énervement
,
